contractSymbol,strike,currency,lastPrice,change,percentChange,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,volume,openInterest
AMN220218C00070000,70.0,USD,27.8,0.0,0.0,39.5,42.9,REGULAR,2022-02-18,2021-11-10 12:01:06,3.3862320031738276,True,,
AMN220218C00075000,75.0,USD,33.97,0.0,0.0,35.5,39.2,REGULAR,2022-02-18,2021-11-10 12:01:06,3.254396395263672,True,1.0,1.0
AMN220218C00080000,80.0,USD,27.3,0.0,0.0,23.9,26.8,REGULAR,2022-02-18,2022-01-13 14:44:22,1.1640666796875,True,4.0,8.0
AMN220218C00085000,85.0,USD,16.98,0.0,0.0,19.3,22.1,REGULAR,2022-02-18,2022-01-19 17:24:52,1.076176494140625,True,3.0,6.0
AMN220218C00090000,90.0,USD,12.5,0.0,0.0,15.1,17.1,REGULAR,2022-02-18,2022-02-07 20:20:52,0.9589847851562499,True,15.0,18.0
AMN220218C00095000,95.0,USD,10.55,0.75,7.653061,11.0,11.8,REGULAR,2022-02-18,2022-02-09 15:46:04,0.7844259838867188,True,3.0,23.0
AMN220218C00100000,100.0,USD,7.7,1.0999999,16.666666,7.1,8.2,REGULAR,2022-02-18,2022-02-09 17:22:26,0.7329128271484374,True,11.0,290.0
AMN220218C00105000,105.0,USD,3.6,0.0,0.0,4.5,6.8,REGULAR,2022-02-18,2022-02-08 20:47:24,0.8381363842773437,False,3.0,121.0
AMN220218C00110000,110.0,USD,2.5,0.6,31.578949,2.4,2.8,REGULAR,2022-02-18,2022-02-09 16:31:11,0.6762727685546877,False,6.0,242.0
AMN220218C00115000,115.0,USD,0.85,0.0,0.0,1.15,2.1,REGULAR,2022-02-18,2022-02-07 19:54:35,0.7236355761718749,False,1.0,87.0
AMN220218C00120000,120.0,USD,0.65,0.0,0.0,0.45,1.0,REGULAR,2022-02-18,2022-02-08 18:25:15,0.6894562304687502,False,2.0,87.0
AMN220218C00125000,125.0,USD,0.3,-0.030000001,-9.090909,0.2,0.4,REGULAR,2022-02-18,2022-02-09 16:28:10,0.6718782812500002,False,3.0,43.0
AMN220218C00130000,130.0,USD,0.17,0.0,0.0,0.0,0.3,REGULAR,2022-02-18,2022-02-01 18:37:37,0.6914093359375001,False,1.0,20.0
AMN220218C00135000,135.0,USD,0.35,0.0,0.0,0.0,0.2,REGULAR,2022-02-18,2022-01-20 15:20:21,0.7382838671874999,False,3.0,118.0
AMN220218C00140000,140.0,USD,0.45,0.0,0.0,0.0,0.4,REGULAR,2022-02-18,2022-02-02 14:30:07,0.91992267578125,False,8.0,32.0
AMN220218C00145000,145.0,USD,2.85,0.0,0.0,0.0,1.4,REGULAR,2022-02-18,2022-01-03 18:32:27,1.2802770361328122,False,1.0,34.0
AMN220218C00150000,150.0,USD,0.1,0.0,0.0,0.0,0.3,REGULAR,2022-02-18,2022-01-19 19:22:29,1.0468797656250002,False,1.0,11.0
AMN220218C00165000,165.0,USD,0.53,0.0,0.0,0.0,1.25,REGULAR,2022-02-18,2022-01-27 19:31:04,1.609376953125,False,1.0,0.0
AMN220218C00175000,175.0,USD,0.9,0.0,0.0,0.3,0.9,REGULAR,2022-02-18,2021-11-26 15:27:34,1.75390748046875,False,4.0,2.0
