contractSymbol,strike,currency,lastPrice,change,percentChange,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,volume
BOOT220218C00040000,40.0,USD,53.0,0.0,0.0,1,89.1,92.3,REGULAR,2022-02-18,2021-11-10 11:56:23,0.0,True,
BOOT220218C00060000,60.0,USD,39.55,0.0,0.0,6,68.9,72.2,REGULAR,2022-02-18,2021-11-10 11:56:23,14.793946066284182,True,4.0
BOOT220218C00065000,65.0,USD,54.8,0.0,0.0,4,55.3,58.9,REGULAR,2022-02-18,2021-12-06 16:28:20,10.32373401641846,True,1.0
BOOT220218C00070000,70.0,USD,59.0,0.0,0.0,2,46.9,51.0,REGULAR,2022-02-18,2021-12-09 16:32:28,8.472660954589841,True,2.0
BOOT220218C00075000,75.0,USD,40.4,0.0,0.0,78,41.9,46.0,REGULAR,2022-02-18,2021-12-16 19:11:54,7.624512188110352,True,10.0
BOOT220218C00080000,80.0,USD,24.12,0.0,0.0,21,46.7,49.7,REGULAR,2022-02-18,2021-10-22 13:52:52,8.943852066345213,True,1.0
BOOT220218C00085000,85.0,USD,34.4,0.0,0.0,11,34.5,38.1,REGULAR,2022-02-18,2021-11-04 19:58:29,6.613771264038086,True,10.0
BOOT220218C00090000,90.0,USD,26.8,0.0,0.0,98,29.3,31.9,REGULAR,2022-02-18,2021-12-13 19:09:38,5.778078949279786,False,1.0
BOOT220218C00095000,95.0,USD,31.3,0.539999,1.7555234,166,23.6,27.0,REGULAR,2022-02-18,2022-01-05 15:38:30,5.062991952514648,False,2.0
BOOT220218C00100000,100.0,USD,25.0,0.0,0.0,55,19.5,22.4,REGULAR,2022-02-18,2022-01-03 20:59:40,4.539555106811522,False,1.0
BOOT220218C00105000,105.0,USD,15.5,0.0,0.0,103,16.3,18.2,REGULAR,2022-02-18,2021-12-22 14:54:48,4.12842280822754,False,2.0
BOOT220218C00110000,110.0,USD,15.0,-3.7999992,-20.212763,43,12.6,16.0,REGULAR,2022-02-18,2022-01-05 20:00:52,3.8334965100097658,False,11.0
BOOT220218C00115000,115.0,USD,13.0,-0.8000002,-5.7971025,44,9.7,11.5,REGULAR,2022-02-18,2022-01-05 19:16:03,3.3798843627929687,False,2.0
BOOT220218C00120000,120.0,USD,10.1,0.0,0.0,140,8.3,9.1,REGULAR,2022-02-18,2022-01-04 15:59:07,3.2160664129638663,False,2.0
BOOT220218C00125000,125.0,USD,6.8,-2.0,-22.727272,1305,6.6,7.1,REGULAR,2022-02-18,2022-01-05 20:35:47,3.0290551617431642,False,116.0
BOOT220218C00130000,130.0,USD,5.1,-2.0,-28.169016,80,4.9,5.4,REGULAR,2022-02-18,2022-01-05 20:17:03,2.831545889892578,False,5.0
BOOT220218C00135000,135.0,USD,6.0,1.1100001,22.69939,20,3.6,4.2,REGULAR,2022-02-18,2022-01-05 16:22:42,2.6870150012207032,False,2.0
BOOT220218C00140000,140.0,USD,4.5,0.70000005,18.421055,331,2.55,3.1,REGULAR,2022-02-18,2022-01-05 16:17:27,2.5385778723144528,False,1.0
BOOT220218C00145000,145.0,USD,2.43,0.0,0.0,11,0.15,2.25,REGULAR,2022-02-18,2022-01-04 17:00:23,2.1210984472656245,False,1.0
BOOT220218C00150000,150.0,USD,2.55,0.54999995,27.499998,3,1.4,1.85,REGULAR,2022-02-18,2022-01-05 15:54:40,2.383793103027343,False,1.0
BOOT220218C00160000,160.0,USD,1.15,0.0,0.0,38,0.7,1.0,REGULAR,2022-02-18,2022-01-03 20:50:01,2.2353559741210933,False,5.0
BOOT220218C00175000,175.0,USD,1.5,0.0,0.0,1200,0.2,0.6,REGULAR,2022-02-18,2021-11-19 15:35:53,2.166020209960937,False,1.0
BOOT220218C00180000,180.0,USD,0.8,0.0,0.0,2,0.05,4.8,REGULAR,2022-02-18,2021-12-03 14:31:56,3.1982441918945312,False,2.0
BOOT220218C00185000,185.0,USD,1.5,0.0,0.0,1,0.05,0.45,REGULAR,2022-02-18,2021-11-18 16:04:53,2.1425827685546874,False,
BOOT220218C00190000,190.0,USD,0.4,0.0,0.0,22,0.0,1.95,REGULAR,2022-02-18,2021-12-27 20:32:32,2.755862485351563,False,1.0
