symbol,language,region,quoteType,quoteSourceName,triggerable,currency,esgPopulated,sourceInterval,exchangeDataDelayedBy,pageViewGrowthWeekly,prevName,nameChangeDate,tradeable,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,trailingAnnualDividendRate,trailingPE,trailingAnnualDividendYield,epsTrailingTwelveMonths,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,exchange,shortName,longName,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,marketState,firstTradeDateMilliseconds,priceHint,postMarketChangePercent,postMarketTime,postMarketPrice,postMarketChange,regularMarketChange,regularMarketChangePercent,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,fullExchangeName,financialCurrency,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,displayName,ipoExpectedDate,averageAnalystRating,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,epsForward,forwardPE,epsCurrentYear,priceEpsCurrentYear,dividendDate,ytdReturn,trailingThreeMonthReturns,trailingThreeMonthNavReturns,preMarketChange,preMarketChangePercent,preMarketTime,preMarketPrice
ZGN,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,False,15.0,0.0,0.25953412,Ermenegildo Zegna Holditalia S.p.A.,2022-02-07,False,9.22 - 12.65,-2.4099998,-0.19051383,9.22,12.65,0.0,0.59823567,0.0,17.117,242344000.0,153.38,10.383333,-0.14333344,-0.013804183,10.383333,-0.14333344,-0.013804183,2481602560.0,0.06676228,NYQ,Ermenegildo Zegna N.V.,Ermenegildo Zegna N.V.,finmb_30639546,America/New_York,EST,-18000000.0,us_market,POST,1640010600000.0,2.0,-2.24609,1644270749.0,10.01,-0.23,-0.41,-3.84976,1644267601.0,10.24,10.58,10.18 - 10.58,10.18,51621.0,10.65,10.17,10.22,8.0,8.0,NYSE,EUR,10.51,437248.0,317060.0,1.0199995,0.11062901,Ermenegildo Zegna,,,,,,,,,,,,,,,,,
ZH,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,False,15.0,0.0,0.075795524,,,False,3.41 - 13.849,-10.129,-0.7313885,3.41,13.849,0.0,,0.0,-0.579,561505024.0,11.875,5.3686,-1.6485999,-0.3070819,8.6099,-4.8899,-0.5679392,2088798720.0,0.31326315,NYQ,Zhihu Inc.,Zhihu Inc.,finmb_706598278,America/New_York,EST,-18000000.0,us_market,POST,1616765400000.0,4.0,0.26881695,1644279802.0,3.73,0.00999999,-0.0799999,-2.10526,1644267602.0,3.72,3.82,3.675 - 3.82,3.675,1840509.0,3.8,3.71,3.74,22.0,32.0,NYSE,CNY,3.77,2213416.0,1822600.0,0.30999994,0.09090907,Zhihu,2021-03-26,1.8 - Buy,1637578740.0,1637578740.0,1637578740.0,-0.28,-13.285714,,,,,,,,,,
ZI,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,False,15.0,0.0,-0.06260807,,,False,37.86 - 79.17,-26.879997,-0.3395225,37.86,79.17,0.0,,0.0,-0.033,403216992.0,4.763,58.0288,-5.7388,-0.09889572,57.9838,-5.693798,-0.09819636,21084217344.0,10.978375,NMS,ZoomInfo Technologies Inc.,ZoomInfo Technologies Inc.,finmb_656458081,America/New_York,EST,-18000000.0,us_market,POST,1591277400000.0,2.0,0.0191209,1644276048.0,52.3,0.00999832,0.29000092,0.5576941,1644267603.0,52.29,54.11,51.71 - 54.11,51.71,2190051.0,52.0,52.16,54.0,8.0,12.0,NasdaqGS,USD,52.21,4557520.0,4003790.0,14.43,0.38114104,ZoomInfo,2020-06-04,1.8 - Buy,1644958800.0,1644958800.0,1644958800.0,0.69,75.78261,0.52,100.5577,,,,,,,,
ZIM,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,False,15.0,0.0,0.2902918,,,False,15.0 - 72.56,-1.6199951,-0.022326283,15.0,72.56,2.5,2.532215,0.0362792,28.015,118588000.0,26.72,57.5306,13.409401,0.23308292,48.6675,22.272503,0.45764634,8412633088.0,2.6549404,NYQ,ZIM Integrated Shipping Service,ZIM Integrated Shipping Services Ltd.,finmb_13461755,America/New_York,EST,-18000000.0,us_market,POST,1611844200000.0,2.0,0.972646,1644279370.0,71.63,0.689995,2.03,2.94587,1644267602.0,70.94,72.56,68.7838 - 72.56,68.7838,4343734.0,68.91,71.45,71.27,9.0,8.0,NYSE,USD,69.0,3936732.0,3739070.0,55.940002,3.7293334,ZIM Integrated Shipping Services,2021-01-28,2.0 - Buy,1637132407.0,1637132407.0,1637132407.0,28.7,2.471777,38.0,1.8668422,1640563200.0,,,,,,,
ZION,en-US,US,EQUITY,Delayed Quote,True,USD,False,15.0,0.0,-0.5827673,,,False,47.06 - 72.06,-0.40999603,-0.005689648,47.06,72.06,1.44,10.552283,0.020233246,6.79,151624992.0,46.318,65.2708,6.379204,0.09773442,59.6431,12.006901,0.20131248,10863931392.0,1.5469148,NMS,Zions Bancorporation N.A.,"Zions Bancorporation, National Association",finmb_315476,America/New_York,EST,-18000000.0,us_market,POST,322151400000.0,2.0,0.20935313,1644274283.0,71.8,0.15000153,0.48000336,0.6744462,1644267602.0,71.65,72.06,70.7 - 72.06,70.7,805443.0,71.17,71.65,71.5,10.0,8.0,NasdaqGS,USD,71.34,1349535.0,1850430.0,24.59,0.5225244,,,2.5 - Buy,1643040600.0,1650312000.0,1650657600.0,5.81,12.332187,5.01,14.301397,1645660800.0,,,,,,,
ZIP,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,False,15.0,0.0,0.10593761,,,False,18.55 - 32.9,-11.320002,-0.34407297,18.55,32.9,0.0,124.022995,0.0,0.174,86396600.0,1.684,24.2842,-2.7042007,-0.111356385,25.528475,-3.948475,-0.15466943,2519939840.0,12.814727,NYQ,"ZipRecruiter, Inc.","ZipRecruiter, Inc.",finmb_270999467,America/New_York,EST,-18000000.0,us_market,POST,1622035800000.0,2.0,0.0,1644271426.0,21.58,0.0,-0.120001,-0.552999,1644267602.0,21.58,22.12,21.24 - 22.12,21.24,354036.0,21.7,21.59,21.59,8.0,14.0,NYSE,USD,21.7,839183.0,789510.0,3.0300007,0.16334236,ZipRecruiter,2021-05-26,1.8 - Buy,1636563600.0,1636563600.0,1636563600.0,0.18,119.888885,-0.09,-239.77777,,,,,,,,
ZLAB,en-US,US,EQUITY,Delayed Quote,True,USD,False,15.0,0.0,0.06985886,,,False,39.75 - 187.46,-138.01001,-0.7362104,39.75,187.46,0.0,,0.0,-6.254,96408704.0,16.672,60.3168,-10.866798,-0.18016206,118.9934,-69.543396,-0.5844307,4856029696.0,2.9660509,NGM,Zai Lab Limited,Zai Lab Limited,finmb_271123063,America/New_York,EST,-18000000.0,us_market,POST,1505914200000.0,2.0,0.0,1644277044.0,49.45,0.0,-0.3600006,-0.7227476,1644267602.0,49.45,51.89,48.82 - 51.89,48.82,778685.0,49.81,49.45,55.5,8.0,9.0,NasdaqGM,USD,49.11,643162.0,568790.0,9.700001,0.24402517,Zai Lab,,1.5 - Strong Buy,1636531200.0,1646094600.0,1646526600.0,-4.2,-11.77381,-6.69,-7.391629,,,,,,,,
ZM,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,False,15.0,0.0,0.13500692,,,False,134.7 - 451.77,-310.33,-0.68692034,134.7,451.77,0.0,37.587032,0.0,3.763,242240000.0,17.164,176.4756,-35.0356,-0.19852942,282.52405,-141.08405,-0.49937004,42148413440.0,8.240503,NMS,"Zoom Video Communications, Inc.","Zoom Video Communications, Inc.",finmb_223236753,America/New_York,EST,-18000000.0,us_market,POST,1555594200000.0,2.0,0.24744828,1644279698.0,141.79,0.34999084,-2.6600037,-1.8459429,1644267603.0,141.44,147.48,139.78 - 147.48,139.78,2484151.0,144.1,141.79,142.43,10.0,8.0,NasdaqGS,USD,144.59,4793222.0,4365060.0,6.7400055,0.05003716,Zoom Video Communications,,2.3 - Buy,1646082000.0,1646082000.0,1646082000.0,4.36,32.440365,4.87,29.043123,,,,,,,,
ZNGA,en-US,US,EQUITY,Delayed Quote,True,USD,False,15.0,0.0,0.011420466,,,False,5.57 - 12.32,-3.2699995,-0.26542205,5.57,12.32,0.0,,0.0,-0.083,1130520064.0,2.733,7.2918,1.7582002,0.24112019,8.64135,0.4086504,0.047290113,10231206912.0,3.3113794,NMS,Zynga Inc.,Zynga Inc.,finmb_40151328,America/New_York,EST,-18000000.0,us_market,POST,1324045800000.0,2.0,0.22098899,1644279046.0,9.07,0.019999504,-0.059999466,-0.65861106,1644267603.0,9.05,9.17,9.02 - 9.17,9.02,32914250.0,9.11,9.07,9.02,388.0,400.0,NasdaqGS,USD,9.12,35866612.0,33897090.0,3.48,0.6247756,Zynga,,2.2 - Buy,1644422700.0,1644422700.0,1644422700.0,0.41,22.073172,0.34,26.617647,,,,,,,,
ZNH,en-US,US,EQUITY,Delayed Quote,True,USD,False,15.0,0.0,0.05968322,,,False,25.08 - 39.96,-6.8899994,-0.17242241,25.08,39.96,0.0,,0.0,-4.65,338968000.0,217.2,29.9498,3.1201992,0.10418097,30.35505,2.7149506,0.08943983,17727305728.0,0.15225598,NYQ,China Southern Airlines Company,China Southern Airlines Company Limited,finmb_365056,America/New_York,EST,-18000000.0,us_market,POST,870269400000.0,2.0,5.775627,1644271725.0,34.98,1.9099998,0.630001,1.94205,1644267602.0,33.07,33.245,32.88 - 33.245,32.88,21247.0,32.44,27.59,35.0,9.0,9.0,NYSE,CNY,32.72,11320.0,8470.0,7.99,0.31858054,,,,,,,0.07,472.42856,,,1564963200.0,,,,,,,
