contractSymbol,strike,currency,lastPrice,change,percentChange,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,volume
ABBV220211C00090000,90.0,USD,50.5,0.0,0.0,0,53.25,53.6,REGULAR,2022-02-11,2022-02-03 20:56:01,2.425785185546875,True,
ABBV220211C00100000,100.0,USD,34.35,0.0,0.0,3,43.2,43.6,REGULAR,2022-02-11,2022-01-25 19:12:49,1.8828130859374999,True,
ABBV220211C00115000,115.0,USD,27.14,0.0,0.0,7,28.2,28.6,REGULAR,2022-02-11,2022-02-07 16:31:54,1.228519482421875,True,1.0
ABBV220211C00120000,120.0,USD,23.07,0.0,0.0,7,23.25,23.45,REGULAR,2022-02-11,2022-02-08 20:29:08,0.945313046875,True,2.0
ABBV220211C00123000,123.0,USD,14.06,0.0,0.0,0,20.15,20.45,REGULAR,2022-02-11,2022-01-12 20:49:48,0.726565234375,True,91.0
ABBV220211C00124000,124.0,USD,18.8,0.0,0.0,2,19.1,19.45,REGULAR,2022-02-11,2022-02-08 18:05:04,0.5625043750000001,True,1.0
ABBV220211C00125000,125.0,USD,18.3,-0.20000076,-1.0810852,290,18.25,18.45,REGULAR,2022-02-11,2022-02-09 17:19:28,0.75586181640625,True,19.0
ABBV220211C00126000,126.0,USD,15.95,0.0,0.0,14,17.2,17.45,REGULAR,2022-02-11,2022-02-04 14:59:12,0.6796907031250001,True,10.0
ABBV220211C00127000,127.0,USD,16.45,0.0,0.0,75,16.25,16.55,REGULAR,2022-02-11,2022-02-08 19:49:00,0.7402369726562499,True,61.0
ABBV220211C00128000,128.0,USD,15.25,0.0,0.0,13,15.2,15.45,REGULAR,2022-02-11,2022-02-08 20:46:13,0.6054726953125001,True,1.0
ABBV220211C00129000,129.0,USD,11.74,0.0,0.0,5,14.25,14.5,REGULAR,2022-02-11,2022-02-04 17:19:59,0.6347692773437501,True,4.0
ABBV220211C00130000,130.0,USD,13.25,0.0,0.0,24,13.2,13.45,REGULAR,2022-02-11,2022-02-08 20:44:41,0.5351608984375,True,37.0
ABBV220211C00131000,131.0,USD,11.82,0.0,0.0,22,12.25,12.45,REGULAR,2022-02-11,2022-02-08 19:07:30,0.5293015820312501,True,2.0
ABBV220211C00132000,132.0,USD,11.13,1.0799999,10.746267,55,11.2,11.5,REGULAR,2022-02-11,2022-02-09 15:19:02,0.6084023535156251,True,2.0
ABBV220211C00133000,133.0,USD,10.14,0.0,0.0,85,10.25,10.5,REGULAR,2022-02-11,2022-02-08 20:27:07,0.5644574804687501,True,8.0
ABBV220211C00134000,134.0,USD,8.74,0.0,0.0,23,9.25,9.5,REGULAR,2022-02-11,2022-02-08 19:14:02,0.5205126074218749,True,8.0
ABBV220211C00135000,135.0,USD,8.5,1.6500001,24.087593,51,8.25,8.5,REGULAR,2022-02-11,2022-02-09 15:44:20,0.47559118164062497,True,2.0
