contractSymbol,strike,currency,lastPrice,change,percentChange,openInterest,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,volume,bid
AIZ220218P00100000,100.0,USD,0.05,0.0,0.0,10,4.8,REGULAR,2022-02-18,2022-01-18 05:08:07,2.99219001953125,False,,
AIZ220218P00120000,120.0,USD,0.45,0.0,0.0,1,4.8,REGULAR,2022-02-18,2022-01-21 14:49:34,1.730958376464844,False,1.0,0.0
AIZ220218P00125000,125.0,USD,0.25,0.0,0.0,3,4.8,REGULAR,2022-02-18,2022-01-31 20:51:34,1.5705587878417968,False,1.0,0.0
AIZ220218P00135000,135.0,USD,2.2,0.0,0.0,3,1.3,REGULAR,2022-02-18,2021-12-21 20:51:25,0.9580082324218748,False,1.0,0.55
AIZ220218P00140000,140.0,USD,1.85,0.0,0.0,4,2.45,REGULAR,2022-02-18,2021-12-28 20:57:20,1.040043862304688,False,3.0,1.5
AIZ220218P00145000,145.0,USD,0.1,-1.25,-92.59259,18,0.45,REGULAR,2022-02-18,2022-02-09 17:20:42,0.532231240234375,False,3.0,0.1
AIZ220218P00150000,150.0,USD,1.85,0.0,0.0,12,0.85,REGULAR,2022-02-18,2022-02-08 20:58:21,0.5698285205078125,False,1.0,0.05
AIZ220218P00155000,155.0,USD,0.1,-3.2800002,-97.04143,3,0.7,REGULAR,2022-02-18,2022-02-09 15:15:36,0.41992767578125,False,2.0,0.15
