contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
ABCL220218C00006000,6.0,USD,2.85,0.0,0.0,2,3,3.5,4.1,REGULAR,2022-02-18,2022-02-01 15:10:05,2.81250296875,True
ABCL220218C00007000,7.0,USD,2.0,0.0,0.0,1,6,2.55,3.1,REGULAR,2022-02-18,2022-02-01 19:49:46,2.1367234082031246,True
ABCL220218C00008000,8.0,USD,1.83,0.47000003,34.558826,1,450,1.75,2.1,REGULAR,2022-02-18,2022-02-09 17:03:17,1.0390673046875003,True
ABCL220218C00009000,9.0,USD,1.0,0.41000003,69.49153,16,441,0.85,1.3,REGULAR,2022-02-18,2022-02-09 16:34:37,0.8984385156249999,True
ABCL220218C00010000,10.0,USD,0.31,0.09,40.909092,15,533,0.25,0.5,REGULAR,2022-02-18,2022-02-09 17:04:43,0.6875031250000001,False
ABCL220218C00011000,11.0,USD,0.1,-0.009999998,-9.090907,1,142,0.05,0.15,REGULAR,2022-02-18,2022-02-09 15:54:05,0.6796907031250001,False
ABCL220218C00012000,12.0,USD,0.05,-0.05,-50.0,16,1612,0.0,0.1,REGULAR,2022-02-18,2022-02-09 17:21:25,0.8281267187499999,False
ABCL220218C00013000,13.0,USD,0.05,0.0,0.0,6,31,0.0,0.1,REGULAR,2022-02-18,2022-02-02 19:29:44,1.0703171484375003,False
ABCL220218C00014000,14.0,USD,0.05,0.0,0.0,1,84,0.0,0.05,REGULAR,2022-02-18,2022-02-02 15:59:16,1.125004375,False
ABCL220218C00015000,15.0,USD,0.05,0.0,0.0,1,83,0.0,0.05,REGULAR,2022-02-18,2022-01-25 19:26:28,1.2968785156249998,False
ABCL220218C00016000,16.0,USD,0.05,0.0,0.0,1,33,0.0,0.05,REGULAR,2022-02-18,2022-02-02 18:39:56,1.46875265625,False
ABCL220218C00017000,17.0,USD,0.1,0.0,0.0,14,33,0.0,0.65,REGULAR,2022-02-18,2022-01-13 19:56:38,2.7539093652343754,False
ABCL220218C00018000,18.0,USD,0.1,0.0,0.0,10,75,0.0,0.75,REGULAR,2022-02-18,2022-01-14 18:53:14,3.058596103515625,False
ABCL220218C00019000,19.0,USD,0.1,0.0,0.0,5,53,0.0,0.2,REGULAR,2022-02-18,2022-01-07 15:50:40,2.3593791015624994,False
ABCL220218C00020000,20.0,USD,0.05,0.0,0.0,2,19,0.0,0.15,REGULAR,2022-02-18,2022-01-24 14:30:04,2.3671915820312495,False
ABCL220218C00021000,21.0,USD,0.05,0.0,0.0,3,28,0.0,0.05,REGULAR,2022-02-18,2022-01-26 16:54:44,2.0937547656249995,False
