contractSymbol,strike,currency,lastPrice,change,percentChange,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,volume
PEGA220218C00080000,80.0,USD,21.83,0.0,0.0,1,17.0,20.8,REGULAR,2022-02-18,2022-01-20 17:46:51,0.9062509375,True,
PEGA220218C00095000,95.0,USD,8.5,0.0,0.0,5,6.5,7.8,REGULAR,2022-02-18,2022-02-07 16:01:40,0.8281267187499999,True,21.0
PEGA220218C00100000,100.0,USD,5.1,0.0,0.0,22,3.2,5.1,REGULAR,2022-02-18,2022-02-03 20:22:13,0.7504907763671875,False,10.0
PEGA220218C00105000,105.0,USD,2.1,-2.0,-48.780487,12,1.65,3.2,REGULAR,2022-02-18,2022-02-08 14:45:20,0.7539087109375,False,7.0
PEGA220218C00110000,110.0,USD,1.95,0.0,0.0,107,0.6,3.9,REGULAR,2022-02-18,2022-02-07 16:03:17,0.9414068359375,False,2.0
PEGA220218C00115000,115.0,USD,1.1,0.0,0.0,37,0.35,0.85,REGULAR,2022-02-18,2022-02-07 15:53:36,0.7314479980468749,False,2.0
PEGA220218C00120000,120.0,USD,0.6,0.0,0.0,63,0.0,0.95,REGULAR,2022-02-18,2022-02-03 18:04:10,0.82226740234375,False,4.0
PEGA220218C00125000,125.0,USD,1.1,0.0,0.0,13,0.0,2.65,REGULAR,2022-02-18,2022-01-20 17:46:51,1.2294960400390624,False,1.0
PEGA220218C00130000,130.0,USD,0.05,0.0,0.0,40,0.0,0.75,REGULAR,2022-02-18,2022-01-26 17:04:55,1.0107471337890623,False,2.0
PEGA220218C00135000,135.0,USD,0.51,0.0,0.0,1,0.0,0.75,REGULAR,2022-02-18,2022-01-21 15:19:40,1.115238798828125,False,1.0
PEGA220218C00155000,155.0,USD,0.95,0.0,0.0,1,0.0,0.0,REGULAR,2022-02-18,2022-01-04 14:30:02,0.500005,False,
PEGA220218C00165000,165.0,USD,0.05,0.0,0.0,368,0.0,0.1,REGULAR,2022-02-18,2022-01-24 20:28:24,1.2421912890624998,False,11.0
