contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
JBLU220218C00009000,9.0,USD,5.9,0.4000001,7.2727294,1,4,5.7,5.75,REGULAR,2022-02-18,2022-01-05 14:40:11,1.0000000000000003e-05,True
JBLU220218C00010000,10.0,USD,5.0,0.5,11.111112,1,9,4.7,4.8,REGULAR,2022-02-18,2022-01-05 15:05:09,1.0000000000000003e-05,True
JBLU220218C00012000,12.0,USD,2.86,0.3399999,13.49206,1,32,2.77,2.88,REGULAR,2022-02-18,2022-01-05 18:15:39,1.0000000000000003e-05,True
JBLU220218C00013000,13.0,USD,2.0,-0.049999952,-2.439022,50,73,1.96,2.03,REGULAR,2022-02-18,2022-01-05 20:10:28,1.0000000000000003e-05,True
JBLU220218C00014000,14.0,USD,1.29,0.01999998,1.5748017,4,397,1.25,1.32,REGULAR,2022-02-18,2022-01-04 20:42:25,1.0000000000000003e-05,True
JBLU220218C00015000,15.0,USD,0.78,0.03999996,5.4054003,483,663,0.75,0.77,REGULAR,2022-02-18,2022-01-05 20:23:19,0.35938140625,True
JBLU220218C00016000,16.0,USD,0.41,0.030000001,7.8947372,135,695,0.4,0.43,REGULAR,2022-02-18,2022-01-05 20:23:29,0.55273884765625,False
JBLU220218C00017000,17.0,USD,0.23,0.040000007,21.052635,136,678,0.21,0.23,REGULAR,2022-02-18,2022-01-05 19:16:16,0.65039412109375,False
JBLU220218C00018000,18.0,USD,0.12,0.019999996,19.999996,6,184,0.11,0.12,REGULAR,2022-02-18,2022-01-05 20:24:20,0.7148466015625,False
JBLU220218C00019000,19.0,USD,0.07,0.0,0.0,3,100,0.06,0.07,REGULAR,2022-02-18,2022-01-05 19:36:55,0.7812521875,False
JBLU220218C00020000,20.0,USD,0.05,0.0,0.0,1,54,0.04,0.05,REGULAR,2022-02-18,2022-01-05 19:15:28,0.867188828125,False
JBLU220218C00021000,21.0,USD,0.04,0.0,0.0,1,29,0.02,0.04,REGULAR,2022-02-18,2022-01-03 15:29:26,0.929688203125,False
