contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
LCID220211C00033000,33.0,USD,7.9,0.0,0.0,1,1,4.7,7.65,REGULAR,2022-02-11,2021-12-31 15:32:37,8.144536159667968,False
LCID220211C00035000,35.0,USD,5.01,-1.4899998,-22.923073,2,1,4.55,5.05,REGULAR,2022-02-11,2022-01-05 15:58:35,7.271485285644531,False
LCID220211C00036000,36.0,USD,4.2,-1.25,-22.935781,11,33,4.05,4.6,REGULAR,2022-02-11,2022-01-05 20:44:56,7.029298088378907,False
LCID220211C00037000,37.0,USD,3.8,-1.7900002,-32.02147,40,1,3.6,4.0,REGULAR,2022-02-11,2022-01-05 20:44:15,6.7187516015625,False
LCID220211C00038000,38.0,USD,3.7,-0.79999995,-17.777777,14,18,2.82,3.6,REGULAR,2022-02-11,2022-01-05 18:53:17,6.318361477050781,False
LCID220211C00039000,39.0,USD,3.01,-1.49,-33.11111,19,43,2.78,3.25,REGULAR,2022-02-11,2022-01-05 20:44:15,6.314455231933594,False
LCID220211C00040000,40.0,USD,2.8,-1.1000001,-28.205132,91,167,2.5,2.86,REGULAR,2022-02-11,2022-01-05 20:50:19,6.142580446777344,False
LCID220211C00041000,41.0,USD,2.15,-1.8,-45.56962,6,68,1.94,2.91,REGULAR,2022-02-11,2022-01-05 19:47:11,6.041018073730469,False
LCID220211C00043000,43.0,USD,2.2,-0.3499999,-13.725487,1,142,1.6,2.34,REGULAR,2022-02-11,2022-01-05 15:46:41,5.851565185546875,False
LCID220211C00044000,44.0,USD,1.9,-0.6,-24.0,12,176,1.4,1.96,REGULAR,2022-02-11,2022-01-05 17:30:51,5.650393562011719,False
LCID220211C00045000,45.0,USD,1.09,-1.0099999,-48.095234,30,44,1.18,1.78,REGULAR,2022-02-11,2022-01-05 19:06:50,5.539065576171874,False
LCID220211C00050000,50.0,USD,0.92,-0.38999993,-29.770988,51,232,0.59,1.11,REGULAR,2022-02-11,2022-01-05 17:07:15,5.242190947265625,False
LCID220211C00055000,55.0,USD,0.47,-0.34,-41.97531,4,176,0.29,0.7,REGULAR,2022-02-11,2022-01-05 18:26:00,5.062503671875,False
