contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
WST220218C00320000,320.0,USD,55.5,0.0,0.0,1.0,1,79.5,84.0,REGULAR,2022-02-18,2022-01-18 15:20:35,0.7553735400390625,True
WST220218C00350000,350.0,USD,55.7,0.0,0.0,1.0,1,51.1,55.2,REGULAR,2022-02-18,2022-02-02 15:00:04,0.6267127172851563,True
WST220218C00360000,360.0,USD,36.1,0.0,0.0,,0,42.0,45.5,REGULAR,2022-02-18,2022-01-26 19:05:57,0.5689740368652343,True
WST220218C00370000,370.0,USD,39.6,0.0,0.0,1.0,14,33.2,37.0,REGULAR,2022-02-18,2022-02-02 17:10:23,0.5382736602783205,True
WST220218C00380000,380.0,USD,13.69,0.0,0.0,4.0,2,25.6,29.5,REGULAR,2022-02-18,2022-01-21 15:29:47,0.5302171002197267,True
WST220218C00390000,390.0,USD,21.76,0.0,0.0,1.0,10,19.1,23.0,REGULAR,2022-02-18,2022-02-04 17:37:52,0.5277757183837892,True
WST220218C00400000,400.0,USD,15.91,0.0,0.0,1.0,6,12.7,16.5,REGULAR,2022-02-18,2022-02-04 17:37:52,0.5574385076904298,True
WST220218C00410000,410.0,USD,8.2,0.0,0.0,2.0,14,8.4,11.9,REGULAR,2022-02-18,2022-02-01 14:56:26,0.5498702239990236,False
WST220218C00420000,420.0,USD,10.8,0.0,0.0,1.0,47,4.2,8.8,REGULAR,2022-02-18,2022-02-02 15:20:07,0.5628705822753908,False
WST220218C00430000,430.0,USD,3.6,0.0,0.0,1.0,32,1.6,5.9,REGULAR,2022-02-18,2022-02-03 20:33:01,0.5526167785644531,False
WST220218C00440000,440.0,USD,3.0,0.0,0.0,1.0,300,0.8,4.2,REGULAR,2022-02-18,2022-01-28 20:54:41,0.5642133422851563,False
WST220218C00450000,450.0,USD,1.64,0.0,0.0,1.0,20,0.25,2.75,REGULAR,2022-02-18,2022-02-04 15:35:18,0.5620160986328125,False
WST220218C00460000,460.0,USD,1.0,0.0,0.0,1.0,22,0.05,3.2,REGULAR,2022-02-18,2022-02-02 17:40:38,0.5498091894531252,False
WST220218C00470000,470.0,USD,0.35,-2.4,-87.272736,3.0,117,0.0,4.8,REGULAR,2022-02-18,2022-02-07 20:19:09,0.6750520776367189,False
WST220218C00480000,480.0,USD,1.59,0.0,0.0,2.0,4,0.0,4.8,REGULAR,2022-02-18,2022-01-24 16:56:25,0.7379176599121093,False
WST220218C00490000,490.0,USD,0.6,0.0,0.0,1.0,1,0.0,0.0,REGULAR,2022-02-18,2022-01-19 18:20:03,0.2500075,False
WST220218C00500000,500.0,USD,1.58,0.0,0.0,2.0,4,0.0,4.8,REGULAR,2022-02-18,2022-01-06 18:22:51,0.8559584716796875,False
WST220218C00510000,510.0,USD,7.2,0.0,0.0,,7,0.0,4.8,REGULAR,2022-02-18,2022-01-03 14:47:35,0.9118661157226562,False
WST220218C00520000,520.0,USD,6.93,0.0,0.0,1.0,1,0.0,4.8,REGULAR,2022-02-18,2021-12-31 17:02:49,0.9656985852050781,False
WST220218C00530000,530.0,USD,5.15,0.0,0.0,,1,0.0,4.8,REGULAR,2022-02-18,2021-12-27 15:54:38,1.0178271765136717,False
WST220218C00540000,540.0,USD,0.5,-3.52,-87.562195,1.0,1,0.0,4.8,REGULAR,2022-02-18,2022-02-07 16:41:53,1.0681198937988285,False
WST220218C00550000,550.0,USD,0.05,0.0,0.0,4.0,4,0.0,0.1,REGULAR,2022-02-18,2022-01-21 15:28:00,0.6367223828125,False
