contractSymbol,strike,currency,lastPrice,change,percentChange,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,volume
ASML220211P00700000,700.0,USD,31.5,-28.32,-47.342026,26,20.6,27.2,REGULAR,2022-02-11,2022-02-09 14:36:12,0.5343064147949219,True,6.0
ASML220211P00705000,705.0,USD,58.62,0.0,0.0,14,25.4,33.0,REGULAR,2022-02-11,2022-01-24 14:59:25,0.6353796228027344,True,10.0
ASML220211P00710000,710.0,USD,39.04,-23.46,-37.536,6,29.4,37.1,REGULAR,2022-02-11,2022-02-09 16:13:46,0.646365841064453,True,2.0
ASML220211P00715000,715.0,USD,75.85,0.0,0.0,9,35.1,42.8,REGULAR,2022-02-11,2022-02-08 15:21:46,0.7403590417480468,True,1.0
ASML220211P00720000,720.0,USD,48.92,-15.650002,-24.237265,8,39.4,47.3,REGULAR,2022-02-11,2022-02-09 16:13:46,0.7666038964843751,True,1.0
ASML220211P00725000,725.0,USD,33.3,0.0,0.0,17,44.3,52.2,REGULAR,2022-02-11,2022-01-21 16:31:49,0.5173388110351562,True,5.0
ASML220211P00730000,730.0,USD,72.35,0.0,0.0,22,48.9,56.5,REGULAR,2022-02-11,2022-02-03 16:01:26,0.819215675048828,True,1.0
ASML220211P00735000,735.0,USD,41.2,0.0,0.0,5,54.2,62.4,REGULAR,2022-02-11,2022-01-21 15:48:28,0.6015664843750002,True,2.0
ASML220211P00740000,740.0,USD,92.13,0.0,0.0,6,59.1,66.9,REGULAR,2022-02-11,2022-02-04 15:51:47,0.6001016552734376,True,2.0
ASML220211P00745000,745.0,USD,76.18,0.0,0.0,7,65.0,73.0,REGULAR,2022-02-11,2022-01-31 19:36:18,0.7556176782226562,True,6.0
ASML220211P00750000,750.0,USD,101.2,0.0,0.0,1,70.2,77.5,REGULAR,2022-02-11,2022-02-08 19:02:42,0.7790549438476562,True,6.0
ASML220211P00755000,755.0,USD,91.6,0.0,0.0,0,74.3,82.5,REGULAR,2022-02-11,2022-01-24 14:30:34,0.7631859619140625,True,3.0
ASML220211P00760000,760.0,USD,110.79,0.0,0.0,0,79.3,87.0,REGULAR,2022-02-11,2022-02-08 19:16:12,0.76367423828125,True,1.0
ASML220211P00765000,765.0,USD,46.37,0.0,0.0,0,84.3,92.5,REGULAR,2022-02-11,2022-01-18 05:04:52,0.8344743115234373,True,
ASML220211P00780000,780.0,USD,109.74,-16.96,-13.38595,2,98.2,107.0,REGULAR,2022-02-11,2022-02-09 16:15:15,0.7841818457031251,True,1.0
ASML220211P00790000,790.0,USD,134.0,0.0,0.0,0,108.2,117.0,REGULAR,2022-02-11,2022-02-07 18:29:57,0.842775009765625,True,1.0
ASML220211P00800000,800.0,USD,144.1,0.0,0.0,0,117.8,126.5,REGULAR,2022-02-11,2022-02-07 18:29:57,0.6250037500000001,True,1.0
ASML220211P00825000,825.0,USD,156.0,0.0,0.0,0,142.2,151.5,REGULAR,2022-02-11,2022-02-01 15:01:32,1.5983906799316405,True,
ASML220211P00835000,835.0,USD,169.05,0.0,0.0,0,152.2,161.4,REGULAR,2022-02-11,2022-01-24 20:06:39,1.6591813916015625,True,
