contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
APP220218P00035000,35.0,USD,0.15,0.0,0.0,5,33,0.0,0.1,REGULAR,2022-02-18,2022-01-31 18:29:55,1.9375003125,False
APP220218P00040000,40.0,USD,0.1,0.0,0.0,13,19,0.05,0.2,REGULAR,2022-02-18,2022-02-01 16:02:20,1.8437507812499998,False
APP220218P00045000,45.0,USD,0.1,0.0,0.0,3,154,0.05,0.35,REGULAR,2022-02-18,2022-01-28 20:36:21,1.654298603515625,False
APP220218P00050000,50.0,USD,0.35,0.0,0.0,3,343,0.0,0.5,REGULAR,2022-02-18,2022-02-08 17:38:47,1.41015919921875,False
APP220218P00055000,55.0,USD,0.4,-0.15,-27.272728,5,927,0.3,0.4,REGULAR,2022-02-18,2022-02-09 15:21:04,1.205082099609375,False
APP220218P00060000,60.0,USD,0.6,-0.43999994,-42.307686,7,458,0.5,0.65,REGULAR,2022-02-18,2022-02-09 17:30:32,1.0459032080078128,False
APP220218P00065000,65.0,USD,1.4,-1.0000001,-41.66667,56,561,1.3,1.55,REGULAR,2022-02-18,2022-02-09 17:25:12,1.035649353027344,False
APP220218P00070000,70.0,USD,2.95,-1.7499998,-37.23404,1,87,2.75,3.1,REGULAR,2022-02-18,2022-02-09 16:36:06,1.023930661621094,False
APP220218P00075000,75.0,USD,5.7,-2.71,-32.223545,10,162,4.9,5.3,REGULAR,2022-02-18,2022-02-09 14:40:58,0.9916993017578125,True
APP220218P00080000,80.0,USD,8.6,-2.2999992,-21.100912,1,882,7.9,8.5,REGULAR,2022-02-18,2022-02-09 15:36:09,0.9887696435546875,True
APP220218P00085000,85.0,USD,19.82,0.0,0.0,1,53,11.6,12.4,REGULAR,2022-02-18,2022-02-02 20:54:09,0.9946289599609376,True
APP220218P00090000,90.0,USD,20.1,0.0,0.0,2,40,16.0,16.9,REGULAR,2022-02-18,2022-02-08 20:09:06,1.059086735839844,True
APP220218P00095000,95.0,USD,24.41,0.0,0.0,1,24,20.8,21.3,REGULAR,2022-02-18,2022-02-07 15:47:14,1.09375453125,True
APP220218P00100000,100.0,USD,30.2,0.0,0.0,1,31,25.4,26.6,REGULAR,2022-02-18,2022-02-08 16:00:59,1.2314491552734375,True
APP220218P00105000,105.0,USD,43.0,0.0,0.0,1,11,30.2,31.2,REGULAR,2022-02-18,2022-02-03 16:12:46,1.189457177734375,True
APP220218P00110000,110.0,USD,27.85,0.0,0.0,14,27,39.5,41.9,REGULAR,2022-02-18,2022-01-06 18:24:48,2.956057297363281,True
APP220218P00115000,115.0,USD,19.6,0.0,0.0,1,45,28.1,29.8,REGULAR,2022-02-18,2021-11-15 18:47:42,1.0000000000000003e-05,True
APP220218P00120000,120.0,USD,47.4,0.0,0.0,3,40,30.1,32.2,REGULAR,2022-02-18,2021-11-10 11:55:24,1.0000000000000003e-05,True
