contractSymbol,strike,currency,lastPrice,change,percentChange,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,volume,openInterest
NNI220218P00075000,75.0,USD,0.15,0.0,0.0,0.0,0.75,REGULAR,2022-02-18,2022-01-18 05:01:01,0.6113320117187502,False,,
NNI220218P00085000,85.0,USD,0.68,0.0,0.0,0.0,4.8,REGULAR,2022-02-18,2022-01-19 19:58:54,0.6726106958007814,True,3.0,3.0
NNI220218P00090000,90.0,USD,1.2,0.0,0.0,1.9,5.8,REGULAR,2022-02-18,2021-12-27 19:28:44,1.0000000000000003e-05,True,,1.0
