contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
PCG220211C00010500,10.5,USD,1.56,0.0,0.0,1,3,1.41,1.75,REGULAR,2022-02-11,2022-02-03 19:14:50,1.453127734375,True
PCG220211C00011000,11.0,USD,1.18,0.0,0.0,6,8,0.97,1.28,REGULAR,2022-02-11,2022-02-07 19:06:15,1.2265663671875,True
PCG220211C00011500,11.5,USD,0.69,0.029999971,4.54545,2,33,0.62,0.76,REGULAR,2022-02-11,2022-02-08 20:54:41,0.5468795312500001,True
PCG220211C00012000,12.0,USD,0.35,-0.02000001,-5.405408,54,5887,0.29,0.34,REGULAR,2022-02-11,2022-02-08 19:05:55,0.5312546875,True
PCG220211C00012500,12.5,USD,0.08,-0.04,-33.333336,193,5948,0.09,0.1,REGULAR,2022-02-11,2022-02-08 20:46:04,0.51562984375,False
PCG220211C00013000,13.0,USD,0.02,-0.01,-33.333336,38,517,0.02,0.03,REGULAR,2022-02-11,2022-02-08 20:48:04,0.5468795312500001,False
PCG220211C00013500,13.5,USD,0.02,0.01,100.0,1,176,0.0,0.02,REGULAR,2022-02-11,2022-02-08 16:05:30,0.64062859375,False
PCG220211C00014000,14.0,USD,0.01,-0.03,-75.0,1,155,0.0,0.09,REGULAR,2022-02-11,2022-02-08 16:06:11,1.09375453125,False
PCG220211C00014500,14.5,USD,0.02,0.0,0.0,45,35,0.0,0.03,REGULAR,2022-02-11,2022-01-31 20:29:26,1.0312548437500002,False
PCG220211C00015500,15.5,USD,0.06,0.0,0.0,1,1,0.0,0.41,REGULAR,2022-02-11,2021-12-31 17:19:06,2.42969142578125,False
