contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
BMO220218C00100000,100.0,USD,9.34,0.0,0.0,11,43,9.9,10.3,REGULAR,2022-02-18,2022-01-03 15:00:20,1.0000000000000003e-05,True
BMO220218C00105000,105.0,USD,6.4,0.0,0.0,11,205,5.5,5.7,REGULAR,2022-02-18,2022-01-04 16:36:07,1.0000000000000003e-05,True
BMO220218C00110000,110.0,USD,2.7,-0.29999995,-9.999999,13,59,1.95,2.35,REGULAR,2022-02-18,2022-01-05 19:23:19,1.0000000000000003e-05,True
BMO220218C00115000,115.0,USD,0.85,0.20000005,30.769238,110,7,0.5,0.65,REGULAR,2022-02-18,2022-01-05 15:53:15,1.0000000000000003e-05,True
BMO220218C00120000,120.0,USD,0.15,0.0,0.0,1,1,0.05,0.0,REGULAR,2022-02-18,2021-12-23 14:30:01,0.0312596875,False
