contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
YINN220211P00004000,4.0,USD,0.18,0.0,0.0,1.0,1,0.0,0.05,REGULAR,2022-02-11,2021-12-31 20:17:55,3.56250109375,False
YINN220211P00005500,5.5,USD,0.05,0.0,0.0,10.0,14,0.0,0.05,REGULAR,2022-02-11,2022-01-27 15:29:58,2.281254296875,False
YINN220211P00006000,6.0,USD,0.07,0.0,0.0,1.0,12,0.0,0.05,REGULAR,2022-02-11,2022-01-31 15:28:10,1.9062504687500001,False
YINN220211P00006500,6.5,USD,0.25,0.0,0.0,,3,0.0,0.05,REGULAR,2022-02-11,2022-01-04 19:48:23,1.5781271093749998,False
YINN220211P00007000,7.0,USD,0.05,0.0,0.0,2.0,79,0.0,0.05,REGULAR,2022-02-11,2022-02-01 20:08:50,1.2656286718749998,False
YINN220211P00007500,7.5,USD,0.08,0.0,0.0,3.0,57,0.0,0.1,REGULAR,2022-02-11,2022-02-04 18:48:09,1.140629296875,False
YINN220211P00008000,8.0,USD,0.1,-0.029999994,-23.07692,33.0,123,0.05,0.1,REGULAR,2022-02-11,2022-02-07 16:43:30,0.92187578125,False
YINN220211P00008500,8.5,USD,0.15,-0.08,-34.782608,32.0,359,0.15,0.25,REGULAR,2022-02-11,2022-02-07 19:56:29,0.9179695703125,False
YINN220211P00009000,9.0,USD,0.38,-0.02000001,-5.000003,96.0,100,0.35,0.45,REGULAR,2022-02-11,2022-02-07 20:52:57,0.85937640625,True
YINN220211P00009500,9.5,USD,0.79,0.14000005,21.53847,5.0,41,0.65,0.8,REGULAR,2022-02-11,2022-02-07 16:44:26,0.8476577734374999,True
YINN220211P00010000,10.0,USD,1.59,0.0,0.0,4.0,166,1.1,1.2,REGULAR,2022-02-11,2022-01-31 15:27:32,0.8984385156249999,True
YINN220211P00010500,10.5,USD,1.74,0.22000003,14.473685,3.0,104,1.5,1.7,REGULAR,2022-02-11,2022-02-07 16:43:20,0.8437515624999999,True
YINN220211P00011000,11.0,USD,2.1,0.0,0.0,3.0,3,1.85,2.3,REGULAR,2022-02-11,2022-02-04 16:15:23,1.953125234375,True
YINN220211P00012000,12.0,USD,2.75,0.0,0.0,,1,2.6,4.0,REGULAR,2022-02-11,2022-01-18 05:04:40,2.4140664648437498,True
