,0,1
Earnings Date,2022-05-11 10:59:00,2022-05-16 12:00:00
Earnings Average,-0.18,-0.18
Earnings Low,-0.25,-0.25
Earnings High,-0.12,-0.12
Revenue Average,43400000,43400000
Revenue Low,37810000,37810000
Revenue High,49580000,49580000
