,0,1
Earnings Date,2022-04-28 12:30:00,2022-05-02 12:30:00
Earnings Average,3.15,3.15
Earnings Low,3.02,3.02
Earnings High,3.35,3.35
Revenue Average,13653000000,13653000000
Revenue Low,13433000000,13433000000
Revenue High,14100000000,14100000000
