,0,1
Earnings Date,2022-04-27 12:30:00,2022-05-02 12:30:00
Earnings Average,1.09,1.09
Earnings Low,1.01,1.01
Earnings High,1.28,1.28
Revenue Average,266770000,266770000
Revenue Low,265640000,265640000
Revenue High,267670000,267670000
