,0,1
Earnings Date,2022-05-03 12:30:00,2022-05-09 12:30:00
Earnings Average,2.91,2.91
Earnings Low,2.61,2.61
Earnings High,3.04,3.04
Revenue Average,57192200000,57192200000
Revenue Low,56380200000,56380200000
Revenue High,58354400000,58354400000
