,0,1
Earnings Date,2022-04-25 12:30:00,2022-04-29 12:30:00
Earnings Average,9.09,9.09
Earnings Low,8.24,8.24
Earnings High,9.98,9.98
Revenue Average,3985100000,3985100000
Revenue Low,3817000000,3817000000
Revenue High,4137390000,4137390000
