,0,1
Earnings Date,2022-05-03 12:30:00,2022-05-09 12:30:00
Earnings Average,2.83,2.83
Earnings Low,1.28,1.28
Earnings High,4.43,4.43
Revenue Average,961890000,961890000
Revenue Low,881100000,881100000
Revenue High,1038300000,1038300000
