,0,1
Earnings Date,2022-04-13 20:00:00,2022-04-18 20:00:00
Earnings Average,2.29,2.29
Earnings Low,1.31,1.31
Earnings High,3.04,3.04
Revenue Average,3294980000,3294980000
Revenue Low,3161000000,3161000000
Revenue High,3563870000,3563870000
