,0,1
Earnings Date,2022-05-11 20:00:00,2022-05-16 20:00:00
Earnings Average,-0.31,-0.31
Earnings Low,-0.62,-0.62
Earnings High,-0.09,-0.09
Revenue Average,1412330000,1412330000
Revenue Low,982700000,982700000
Revenue High,1481530000,1481530000
