,0,1
Earnings Date,2022-04-20 12:30:00,2022-04-25 12:30:00
Earnings Average,-2.47,-2.47
Earnings Low,-2.83,-2.83
Earnings High,-1.96,-1.96
Revenue Average,8479120000,8479120000
Revenue Low,8275000000,8275000000
Revenue High,8796000000,8796000000
