,0,1
Earnings Date,2022-04-18 12:30:00,2022-04-22 12:30:00
Earnings Average,1.48,1.48
Earnings Low,1.32,1.32
Earnings High,1.53,1.53
Revenue Average,11049100000,11049100000
Revenue Low,10492400000,10492400000
Revenue High,11626000000,11626000000
