,0,1
Earnings Date,2022-04-27 12:30:00,2022-05-02 12:30:00
Earnings Average,0.87,0.87
Earnings Low,0.8,0.8
Earnings High,0.91,0.91
Revenue Average,916020000,916020000
Revenue Low,903770000,903770000
Revenue High,929200000,929200000
